trip_id,arrival_time,departure_time,stop_id
269,23:45:00,23:45:00,c29
270,0:45:00,0:45:00,c6
270,0:55:00,0:55:00,c29
271,1:45:00,1:45:00,c6
271,1:55:00,1:55:00,c29
272,2:45:00,2:45:00,c6
272,2:55:00,2:55:00,c29
273,3:45:00,3:45:00,c6
273,3:55:00,3:55:00,c29
274,4:30:00,4:30:00,c6
274,4:40:00,4:40:00,c29
275,5:00:00,5:00:00,c6
275,5:10:00,5:10:00,c29
276,5:15:00,5:15:00,c6
276,5:25:00,5:25:00,c29
277,5:32:00,5:32:00,c6
277,5:42:00,5:42:00,c29
278,5:47:00,5:47:00,c6
278,5:57:00,5:57:00,c29
279,6:02:00,6:02:00,c6
279,6:12:00,6:12:00,c29
280,6:17:00,6:17:00,c6
280,6:27:00,6:27:00,c29
281,6:47:00,6:47:00,c6
281,6:57:00,6:57:00,c29
282,7:12:00,7:12:00,c6
282,7:22:00,7:22:00,c29
283,7:30:00,7:30:00,c6
283,7:40:00,7:40:00,c29
284,8:00:00,8:00:00,c6
284,8:10:00,8:10:00,c29
285,8:15:00,8:15:00,c6
285,8:25:00,8:25:00,c29
286,8:45:00,8:45:00,c6
286,8:55:00,8:55:00,c29
287,9:00:00,9:00:00,c6
287,9:10:00,9:10:00,c29
288,9:15:00,9:15:00,c6
288,9:25:00,9:25:00,c29
289,9:30:00,9:30:00,c6
289,9:40:00,9:40:00,c29
290,9:45:00,9:45:00,c6
290,9:55:00,9:55:00,c29
291,10:00:00,10:00:00,c6
291,10:10:00,10:10:00,c29
292,10:20:00,10:20:00,c6
292,10:30:00,10:30:00,c29
293,10:40:00,10:40:00,c6
293,10:50:00,10:50:00,c29
294,11:00:00,11:00:00,c6
294,11:10:00,11:10:00,c29
295,11:15:00,11:15:00,c6
295,11:25:00,11:25:00,c29
296,11:30:00,11:30:00,c6
296,11:40:00,11:40:00,c29
297,11:45:00,11:45:00,c6
297,11:55:00,11:55:00,c29
298,12:30:00,12:30:00,c6
298,12:40:00,12:40:00,c29
299,12:45:00,12:45:00,c6
299,12:55:00,12:55:00,c29
300,13:02:00,13:02:00,c6
300,13:12:00,13:12:00,c29
301,13:20:00,13:20:00,c6
301,13:30:00,13:30:00,c29
302,13:42:00,13:42:00,c6
302,13:52:00,13:52:00,c29
303,14:00:00,14:00:00,c6
303,14:10:00,14:10:00,c29
304,14:15:00,14:15:00,c6
304,14:25:00,14:25:00,c29
305,14:45:00,14:45:00,c6
305,14:55:00,14:55:00,c29
306,15:10:00,15:10:00,c6
306,15:20:00,15:20:00,c29
307,15:25:00,15:25:00,c6
307,15:35:00,15:35:00,c29
308,15:45:00,15:45:00,c6
308,15:55:00,15:55:00,c29
309,16:00:00,16:00:00,c6
309,16:10:00,16:10:00,c29
310,16:15:00,16:15:00,c6
310,16:25:00,16:25:00,c29
311,16:30:00,16:30:00,c6
311,16:40:00,16:40:00,c29
312,16:45:00,16:45:00,c6
312,16:55:00,16:55:00,c29
313,17:00:00,17:00:00,c6
313,17:10:00,17:10:00,c29
314,17:25:00,17:25:00,c6
314,17:35:00,17:35:00,c29
315,17:45:00,17:45:00,c6
315,17:55:00,17:55:00,c29
316,18:00:00,18:00:00,c6
316,18:10:00,18:10:00,c29
317,18:17:00,18:17:00,c6
317,18:27:00,18:27:00,c29
318,18:42:00,18:42:00,c6
318,18:52:00,18:52:00,c29
319,18:58:00,18:58:00,c6
319,19:08:00,19:08:00,c29
320,19:15:00,19:15:00,c6
320,19:25:00,19:25:00,c29
321,19:30:00,19:30:00,c6
321,19:40:00,19:40:00,c29
322,19:45:00,19:45:00,c6
322,19:55:00,19:55:00,c29
323,20:02:00,20:02:00,c6
323,20:12:00,20:12:00,c29
324,20:57:00,20:57:00,c6
324,21:07:00,21:07:00,c29
325,21:12:00,21:12:00,c6
325,21:22:00,21:22:00,c29
326,21:30:00,21:30:00,c6
326,21:40:00,21:40:00,c29
327,21:45:00,21:45:00,c6
327,21:55:00,21:55:00,c29
328,22:00:00,22:00:00,c6
328,22:10:00,22:10:00,c29
329,22:30:00,22:30:00,c6
329,22:40:00,22:40:00,c29
330,23:05:00,23:05:00,c6
330,23:15:00,23:15:00,c29
331,23:30:00,23:30:00,c6
331,23:40:00,23:40:00,c29
332,20:27:00,20:27:00,c6
332,20:37:00,20:37:00,c29
333,20:42:00,20:42:00,c6
333,20:52:00,20:52:00,c29
334,14:30:00,14:30:00,c6
334,14:40:00,14:40:00,c29
335,20:30:00,20:30:00,c6
335,20:40:00,20:40:00,c29
336,0:45:00,0:45:00,c6
336,0:55:00,0:55:00,c29
337,1:45:00,1:45:00,c6
337,1:55:00,1:55:00,c29
338,2:45:00,2:45:00,c6
338,2:55:00,2:55:00,c29
339,3:45:00,3:45:00,c6
339,3:55:00,3:55:00,c29
340,4:30:00,4:30:00,c6
340,4:40:00,4:40:00,c29
341,5:15:00,5:15:00,c6
341,5:25:00,5:25:00,c29
342,5:30:00,5:30:00,c6
342,5:40:00,5:40:00,c29
343,5:50:00,5:50:00,c6
343,6:00:00,6:00:00,c29
344,6:10:00,6:10:00,c6
344,6:20:00,6:20:00,c29
345,6:25:00,6:25:00,c6
345,6:35:00,6:35:00,c29
346,6:47:00,6:47:00,c6
346,6:57:00,6:57:00,c29
347,7:07:00,7:07:00,c6
347,7:17:00,7:17:00,c29
348,7:30:00,7:30:00,c6
348,7:40:00,7:40:00,c29
349,7:50:00,7:50:00,c6
349,8:00:00,8:00:00,c29
350,8:08:00,8:08:00,c6
350,8:18:00,8:18:00,c29
351,8:22:00,8:22:00,c6
351,8:32:00,8:32:00,c29
352,8:45:00,8:45:00,c6
352,8:55:00,8:55:00,c29
353,9:00:00,9:00:00,c6
353,9:10:00,9:10:00,c29
354,9:15:00,9:15:00,c6
354,9:25:00,9:25:00,c29
355,9:30:00,9:30:00,c6
355,9:40:00,9:40:00,c29
356,9:45:00,9:45:00,c6
356,9:55:00,9:55:00,c29
357,10:00:00,10:00:00,c6
357,10:10:00,10:10:00,c29
358,10:20:00,10:20:00,c6
358,10:30:00,10:30:00,c29
359,10:40:00,10:40:00,c6
359,10:50:00,10:50:00,c29
360,11:00:00,11:00:00,c6
360,11:10:00,11:10:00,c29
361,11:15:00,11:15:00,c6
361,11:25:00,11:25:00,c29
362,11:30:00,11:30:00,c6
362,11:40:00,11:40:00,c29
363,11:45:00,11:45:00,c6
363,11:55:00,11:55:00,c29
364,12:30:00,12:30:00,c6
364,12:40:00,12:40:00,c29
365,12:45:00,12:45:00,c6
365,12:55:00,12:55:00,c29
366,13:02:00,13:02:00,c6
366,13:12:00,13:12:00,c29
367,13:20:00,13:20:00,c6
367,13:30:00,13:30:00,c29
368,13:42:00,13:42:00,c6
368,13:52:00,13:52:00,c29
369,14:00:00,14:00:00,c6
369,14:10:00,14:10:00,c29
370,14:15:00,14:15:00,c6
370,14:25:00,14:25:00,c29
371,14:30:00,14:30:00,c6
371,14:40:00,14:40:00,c29
372,14:45:00,14:45:00,c6
372,14:55:00,14:55:00,c29
373,15:10:00,15:10:00,c6
373,15:20:00,15:20:00,c29
374,15:25:00,15:25:00,c6
374,15:35:00,15:35:00,c29
375,15:45:00,15:45:00,c6
375,15:55:00,15:55:00,c29
376,16:00:00,16:00:00,c6
376,16:10:00,16:10:00,c29
377,16:15:00,16:15:00,c6
377,16:25:00,16:25:00,c29
378,16:30:00,16:30:00,c6
378,16:40:00,16:40:00,c29
379,16:45:00,16:45:00,c6
379,16:55:00,16:55:00,c29
380,17:00:00,17:00:00,c6
380,17:10:00,17:10:00,c29
381,17:20:00,17:20:00,c6
381,17:30:00,17:30:00,c29
382,17:45:00,17:45:00,c6
382,17:55:00,17:55:00,c29
383,18:00:00,18:00:00,c6
383,18:10:00,18:10:00,c29
384,18:17:00,18:17:00,c6
384,18:27:00,18:27:00,c29
385,18:40:00,18:40:00,c6
385,18:50:00,18:50:00,c29
386,18:58:00,18:58:00,c6
386,19:08:00,19:08:00,c29
387,19:15:00,19:15:00,c6
387,19:25:00,19:25:00,c29
388,19:30:00,19:30:00,c6
388,19:40:00,19:40:00,c29
389,19:45:00,19:45:00,c6
389,19:55:00,19:55:00,c29
390,20:02:00,20:02:00,c6
